name
Isaac Guillory
Isaac Heymann
Isaac Hirshow
Isaac Leucht
Isaac Nathan
Isaac Stern
Isaac Touro
Isaak Dunayevsky
Isabelle Vengerova
Isador Goodman
Isidor Achron
Isidor Lateiner
Isidor Philipp
Isidore Cohen
Isidore Lillian
Isidore de Lara
Israel Alter
Israel Bar-On
Israel Goldfarb
Israel J. Hochman
Israel Lovy
Israel Meyer Japhet
Israel Philharmonic Orchestra
Israel Schorr
Israel Sharon
Israel Tanenbaum
Israel Yinon
Israela Margalit
Issachar Miron
Issay Dobrowen
István Anhalt
István Kertész (conductor)
István Thomán
Ithamara Koorax
Itzhak Perlman
Itzhak Rashkovsky
Itzik Kala
Ivana Lang
Ivry Gitlis
Ivy Austin
Ivy Frances Klein
Izhak Graziani
Izhar Cohen
Izidor Gross
Izso Glickstein
J. J. Abrams
J. R. Rotem
Jack Albertson
Jack Antonoff
Jack Black
Jack Dishel
Jack Gilinsky
Jack Irons
Jack Keller (songwriter)
Jack Kessler
Jack Lawrence (songwriter)
Jack Segal
Jack Shaindlin
Jack Warshaw
Jack Yellen
Jackie Tohn
Jackie Wilson
Jaclyn Chernett
Jacob Gilboa
Jacob Hoffman (musician)
Jacob Lateiner
Jacob Raphael Cohen
Jacob Reuven
Jacob Schaefer (composer)
Jacobo Ficher
Jacqueline Steiner
Jacqueline du Pré
Jacques Klein
Jacques Levy
Jacques Offenbach
Jacques Singer
Jake Gold
Jake Miller (singer)
Jakob Dylan
Jakob Gimpel
Jakob Martin
Jakob Rosenhain
Jalda Rebling
James G. Heller
James Koppel Gutheim
James Levine
James McBride (writer)
James Newton Howard
James Rhodes (pianist)
Jamie Saft
Jamie deRoy
Jamie-Lynn Sigler
Jan Bart
Jan Peerce
Jane Badler
Jane Joseph
Jane Olivor
Janet Weiss
Janis Ian
Janos Cegledy
Jaromír Weinberger
Jaron Lowenstein
Jascha Brodsky
Jascha Gopinko
Jascha Gurewich
Jascha Heifetz
Jascha Horenstein
Jascha Spivakovsky
Jasmin (singer)
Jasmin Moallem
Jauz
Jax (singer)
Jay Beckenstein
Jay Black
Jay Gorney
Jay Livingston
Jay Weinberg
Jean Goldenbaum
Jean Gornish
Jean Schwartz
Jean-Jacques Goldman
Jeff Barry
Jeff Goldblum
Jeff Klepper
Jeff Lorber
Jeff Marx
Jeff Rosenstock
Jeff Tweedy
Jeffrey Lesser (producer)
Jen Trynin
Jenni Asher
Jennie Tourel
Jenny Lewis
Jenny Scheinman
Jensen McRae
Jenő Jandó
Jeremy Cool Habash
Jeremy Zucker
Jerome Chodorov
Jerome Kern
Jerome Lowenthal
Jerome Rose
Jerry Adler (harmonica player)
Jerry Bock
Jerry Herman
Jerry Leiber
Jerry Leiber and Mike Stoller
Jerry Lewis
Jerry Livingston
Jerry Ross (composer)
Jerry Silverman
Jerry Springer
Jesse Itzler
Jesse Malin
Jesse Michaels
Jesse Novak
Jessie Ware
Jewlia Eisenberg
Jews in jazz
Jill Sobule
Jim Brickman
Jim Croce
Jim Eanes
Jimbo J
Jo Swerling
Joachim Stutschewsky
Joanna Gleason
Joe Dassin
Joe Glazer
Joe Trohman
Joel Derfner
Joel Engel (composer)
Joel Hirschhorn
Joel Rubin
Joey Baron
Joey DeGraw
Joey Ramone
Johann Strauss III
John Barnett (composer)
John Braham (tenor)
John Fischer (pianist)
John Kahn
John Kander
John Kaplan (cantor)
John Mayer
John Reuben
John Solomon Harris
John Zorn
Johnny Clegg
Johnny Mandel
Johnny Marks
Jon B.
Jon Bauman
Jon Fishman
Jon Shain
Jonah Platt
Jonah Rank
Jonathan Bar Giora
Jonathan Biss
Jonathan Larson
Jonathan Mergui
Jonathan Richman
Jonathan Tunick
Jordan B. Gorfinkel
Jordan Bennett
Jorma Kaukonen
Josef Dessauer
Josef Feigelson
Josef Gingold
Josef Hassid
Josef Lhévinne
Josef Strauss
Josef Stránský
Josef Tal
Josef Taussig
Joseph Achron
Joseph Alfidi
Joseph Ascher
Joseph Beer
Joseph Brent
Joseph Brody
Joseph Brooks (songwriter)
Joseph Cherniavsky
Joseph Feldman
Joseph Frankel
Joseph Fuchs
Joseph Joachim
Joseph Kalichstein
Joseph Kobzon
Joseph Lupo
Joseph Maas
Joseph Malovany
Joseph Meyer (songwriter)
Joseph Pardo (hazzan)
Joseph Rosenstock
Joseph Schillinger
Joseph Schmidt
Joseph Shalom Gallego
Joseph Silverstein
Joseph Szigeti
Josh Clayton-Felt
Josh Gad
Josh Klinghoffer
Josh Radnor
Josh Silver
Joshua Bell
Joshua Epstein (violinist)
Joshua Hecht
Joshua Nelson (singer)
Joshua Radin
Joshua Redman
Joshua Topolsky
Josima Feldschuh
José Antonio Bowen
Jourdan Urbach
Juan Luria
Judah Cassuto
Judith Bokor
Judith Kaplan Eisenstein
Judith Raskin
Judith Wachs
Judy Frankel
Judy Kuhn
Judy Roberts
Jule Styne
Julia Blum
Julia Culp
Julia Feldman
Julia Kogan
Julian Kuerti
Julian Lage
Julie Budd
Julie Gold
Julie Goldman
Julie Mintz
Julie Rosewald
Julie Silver
Julie Zenatti
Julius Benedict
Julius Eichberg
Julius Isserlis
Julius Katchen
Julius Mombach
Julius Rudel
Julius Schulhoff
Julius Sulzer
Jussie Smollett
Justin Warfield
János Fürst
János Starker
Józef Koffler
Júlia Hajdú
K-KOV
KNOB (duo)
Kal Mann
Kalmar and Ruby
Kalmele Weitz
Karel Ančerl
Karel Berman
Karel Reiner
Karen David
Karl Geiringer
Karl Goldmark
Karl Haas
Karl Tausig
Karl Ulrich Schnabel
Karl Weigl
Katey Sagal
Katie Waissel
Katja Andy
Kay Thompson
Keith Green
Keith Morris
Kenneth Kiesler
Kenny Aronoff
Kenny Davern
Kenny G
Kenny Wollesen
Kenny Young
Kevin DuBrow
Kfir Tsafrir
Khen (DJ)
Khleo Thomas
Kineret (singer)
Kinky Friedman
Kip Hanrahan
Kirill Gerstein
Kirill Petrenko
Kirsten Rosenberg
Kitty Kallen
Klaus Pringsheim Sr.
Kobi Arad
Kobi Oshrat
Kobi Peretz
Konstantin Eiges
Kosha Dillz
Kossisko
Kreayshawn
Krishna Das (singer)
Kristina Reiko Cooper
Kurt Adler
Kurt Baum
Kurt Herbert Adler
Kurt Sanderling
Kurt Weill
Kutiman
L. Wolfe Gilbert
L.E. Doug Staiman
Lahav Shani
Lainie Kazan
Lala Tamar
Lalo Schifrin
Landon Ronald
Lane 8
Lanz Pierce
Larry Adler
Larry Gordon (musician)
Larry Gottlieb
Larry Harlow (musician)
Larry Klein
Larry Rosen (producer)
Larry Taylor
Laszlo Varga (cellist)
Laura Dreyfuss
Laura Nyro
Lauren Bernofsky
Laurie Beechman
Laurie Rubin
Lauv
Lawrence Dermer
Lawrence Gellert
Lawrence Rothman
Lazar Berman
Lazare Lévy
Lazare Saminsky
Lazer Lloyd
Leah Kunkel
Leah Lowenstein
Lee Adams
Lee Feldman
Lee Konitz
Lee Pockriss
Leib Glantz
Leibele Waldman
Leila Josefowicz
Len Barry
Leni Alexander
Lenka Lichtenberg
