query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Goat Bell,Goat Bell,2759dd20-5ffc-433b-be20-26b327b5d3d9,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Geotic,Geotic,780640e6-cfcb-431f-b5a6-865200dd35a7,122,10,92,20,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Calexico,Calexico,5e372a49-5672-4fb8-ba14-18c90780c4f9,231,10,149,72,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Party Boys,Party Boys,e8418b52-4874-404b-831d-efb2247b31da,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mo Rooneh,Mo Rooneh,8489,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Doc Deem,Doc Deem,381edfe0-59ba-4cfb-ae1f-8ed20037e647,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Dunaewsky69,Dunaewsky69,8316,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Jay Vons,The Jay Vons,ed86b0f2-6adf-4736-96ab-e010154c04a5,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Boodle Boy,Boodle Boy,9228,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Tobias Herzz Hallbauer,Tobias Herzz Hallbauer,79772216-9105-4a35-9ac8-7f9389c7af9d,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Quiet Hooves,Quiet Hooves,40861cf6-789e-497e-80ba-cccf045c4372,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Viva L'American Death Ray Music,Viva L'American Death Ray Music,26e258b3-4409-4f76-aa88-1f3a388f86a2,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Sk'p,Sk'p,baca58e6-b7dd-4f1e-b529-b7d2574475da,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Echo lali,Echo lali,f25bf41b-a0c5-47cc-bb00-4939485c59ce,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Sendelica,Sendelica,59499c50-1671-4fa3-8814-e923b96ad723,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Brian,Brian,6124,13,10,2,1,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Innig,Innig,10098,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Kreamy 'Lectric Santa,Kreamy 'Lectric Santa,9c81e488-47d5-4b7e-b14d-9a95b184fab6,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Kevin Purvis,Kevin Purvis,10244,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Pionir 10,Pionir 10,18ac423d-2259-4d0d-afb6-3a63a4bdaa40,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Myra Lee,Myra Lee,1b1c5801-ba5a-4702-b0a5-83768ec527e9,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
I.T.B.A.,I.T.B.A.,08abeaa7-3320-46df-9d5f-b6726ecbcba3,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Tre Orsi,Tre Orsi,394b9bce-8937-4e0c-8922-a9d58227682b,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Sun (US indie rock/pop band),The Sun (US indie rock/pop band),1a28f7a2-d980-44c3-80fa-2b0056c615d9,70,10,37,23,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Crush!!!,Crush!!!,6dd5c37f-35cb-4dfd-b1f2-e090b1e27066,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Pete Prodoehl,Pete Prodoehl,40419504-928c-4af7-99f6-691326fd2e96,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Zap-Pascal,Zap-Pascal,1db42113-343f-47b3-b3ab-0eb5ee148e8f,11,11,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Backyard Music,Backyard Music,ce0254d8-b0a0-41e4-9a23-db1f282112e0,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Aden Ôhm,Aden Ôhm,f1d48f79-e0aa-4aec-ab4c-883ad562c3ea,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Go Genre Everything,Go Genre Everything,04fdcf09-84d0-459e-8780-7456ed7e527e,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Futurología,Futurología,7ac83dec-e393-4344-aa89-dc77ad56bfae,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Porion,Porion,5c03c458-4df3-43a7-97a0-fb62ff37dd11,11,11,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mascara Sue,Mascara Sue,55cb2c82-8113-4c26-b784-e59adfe24787,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mammal of Paradise,Mammal of Paradise,e8fa5d54-7740-44e7-8add-1410254f20e0,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mister Beep,Mister Beep,21f91960-bfbe-4c3a-b38e-213233b4676a,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Lambs Gamble,Lambs Gamble,e064dd1d-1ec9-4a61-8e11-d908983f53f1,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Dead Gum,Dead Gum,a9ab4f22-cb57-4271-a280-49c0f4199187,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Junichi Usui,Junichi Usui,0fc72e34-8674-41e6-b97a-70a49f009944,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Ava Zandieh,Ava Zandieh,06e3aa83-69f1-41b3-95a2-71548670111e,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
john collins mccormick,john collins mccormick,1f3c6cad-a2c9-411d-8f4b-72128572ada1,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Cuban Cowboys,Cuban Cowboys,0ef2c26e-ed53-44d7-b0b2-f4efff554b59,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
37 Pink,37 Pink,2bea650c-272c-4a35-9395-9228b5526a67,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
