rank,channel,total_clips,channel_type
655,Hollyscoop,149,individual
656,Life For Life,149,individual
657,legorocks99,148,company/brand
658,PraveenMohan,148,individual
659,The Lion Whisperer,148,individual
660,WaysAndHow,148,individual
661,Arirang News,148,company/brand
662,vipmagazin Kino,148,individual
663,Freethink,147,individual
664,How Farms Work,147,individual
665,Those Two Brits,147,individual
666,Google,147,individual
667,Vanguard Motor Sales,147,individual
668,BabbleTop,147,individual
669,Serge Ramelli Photography,147,individual
670,HubNut,147,individual
671,RPP Noticias,147,individual
672,Coisa de Nerd,147,individual
673,Simple History,146,individual
674,RaceGrooves,146,individual
675,HowStuffWorks,146,individual
676,Joey Graceffa,146,individual
677,PIX11 News,146,company/brand
678,Loose Women,146,individual
679,Bispo Bruno Leonardo,146,individual
680,Financial Times,146,company/brand
681,BugaLuis,145,individual
682,Jen Smith,145,individual
683,ADVChina,145,individual
684,FanDuel Sports Network Ohio & Great Lakes,145,company/brand
685,X17onlineVideo,144,company/brand
686,Pablito's Way,144,individual
687,The Royal Institution,144,individual
688,Bloomberg Quicktake,144,company/brand
689,CarAudioFabrication,144,individual
690,What Car?,144,individual
691,MercifulServant,143,individual
692,Kings and Generals,143,individual
693,EF International Language Campuses,143,company/brand
694,Ford Performance,143,individual
695,McCann Dog Training,142,individual
696,fightTIPS,142,individual
697,Deji,142,individual
698,CBC,142,individual
699,SciShow,142,individual
700,Animal Planet,142,individual
701,Amazing Dinosaurs,141,individual
702,Insider Tech,141,company/brand
703,Disney Parks,141,company/brand
704,Ben Hardy,140,individual
705,MMAnytt,140,individual
706,Bearing,140,individual
707,Name Explain,140,individual
708,Mr H Reviews,140,company/brand
709,Paralympic Games,140,company/brand
710,JayzTwoCents,140,individual
711,Rotten Tomatoes Indie,140,individual
712,Rachael Ray Show,140,company/brand
713,REDEMAISHD,140,company/brand
714,MONKY LONDON,139,company/brand
715,Rclbeauty101,139,company/brand
716,Trinity and Beyond,139,individual
717,The Omar Gosh Vlogs,139,company/brand
718,Max Novak,139,individual
719,RevMatchTV,139,individual
720,Our Human Planet,138,individual
721,Be Fluent in Russian,138,individual
722,aantonop,138,individual
723,Extra History,138,individual
724,鈴川絢子/Suzukawa Ayako,138,individual
725,CCV TV,138,company/brand
726,The Herd with Colin Cowherd,138,individual
727,Fox Deportes,138,company/brand
728,Totally Rudy,137,individual
729,Dyches Fam,137,individual
730,Bob & Brad,137,individual
731,This Week in Louisiana Agriculture,137,individual
